00001ADAMSON             01010400001455032420102
00002BAKER               01010500000195342500201
00003CARTWELL            01101000001278314590502
00004DORSEY              01030450001128056510204
00005HAMMOND             01020500000851297500402
00006NOLTE               01020450001255583250402
00007REDFORD             01010480001225759830306
00008JOHNKE              02030550001285320000203
00009WHITE               02040590000189744370104
00010MARSHALL            02040530001258021960203
00011EISEN               02050500001358012770401
00012SAGER               02060680001955302190201
00013STERN               02070680000885677240402
00014SUMMERS             02080675000339955270101
00015JONES               03090400000113387720904
00016JOHNSON             03111000001458814770203
00017NOLAN               03020447500518733230203
00018CANTWELL            03020682501813795500102
00019SMITH               03020750000112050300301
50020HAMMEL              03040591001249867430204
50021RAMIREZ             03040570430310590900601
50022WASHINGTON          03030473082100667010301
50023JAMES               03030457163093240100602
50024LYONS               04060652029064207550103
50025GREGORY             04060671905359420320503
50026LINCOLN             04070432620180735220403
50027NEWMAN              04050465310429978040204
50028CARTWELL            04080470823534250770101
50029DREYFUS             05080831081933063410602
50030LOPEZ               05050920180374188020302
50031FRANKLIN            05040445211841103830203
50032FORTE               05030439723590620890201
50033BYRON               05080556017210804710102
50034KEATS               05030438943285144250403
50035SOMTER              05030716132050821550604
50036PITERIS             06020450000528795440102
50037SIMOS               06040689000695525480501
50038ASHLEY              06040758002357812220201
50039BUTTERFIELD         06080432000052587770301
50040CALIOPIS            06030960000239884470903
50041DESEREY             06020850003695522880803
50042FIELDSON            07010523001122056990703
50043GALAGHER            07080890009988025210504
50044HOUSTONS            07090520000685442130604
50045JACKSON             07020870000988258770202
50046KENDERSON           07020360000366651470202
50047LIPSTERS            07020685000024144470104
50048MANATARIS           07040400000699874420304
50049NICHOLSON           08050555000665520310603
50050OBERTON             08060750000114899450603
50051PETERS              08060630000233564780803
50052ROBERTS             08060652004581122000702
50053SERGIS              08090870000458866450701
50054TUCKERSON           08010650000982145660801
50055VRICOLICSON         08020500000652333450904
50056MACALUSO            08020758000639457880903
50057KORNS               08030600005662111400903
50058OKINS               09040756006547888000578
50059FRIEDMAN            09050895009875522010145
50060SANTOS              09050471000369852250178
00061ANDOLINI            09040553000233566640212
00062RUTH                09080500000147888250312
00063APPLESEED           09030908000111245870412
00064RIVERA              09020886230998722330578
00065RIVERSON            09010529000687411470678
