0082Wilson    10251274011202013
2508Peterson  13551574901022012
4630Bond      12541956704072013
4663Williams  12621030206242011
5192Lin       13160085607232013
5333Brown     11440543809192013
5583Letterman 12000176612152011
7075Jones     12751762107212013
7444Gates     12290180710162010
7804Cage      13560687608152013
9218Lee       13341508100262013
0002Chang     21591099510242010
0219Mayer     21961943603262013
1842Mueller   21711257812132011
2855White     21581340708052011
4286Frankson  21781237900162013
4730Kline     20701411610122013
4967Michels   20671149702132013
5107McDonald  23480611304252013
5207Burke     23322058707132013
5263Covert    22361181610062012
5829Neuman    23281739311272013
6143Lopez     21711959109112012
7644Jackson   20421658112162013
8140Cambell   20200974304142010
8202Fox       23581118407152011
8941Ericson   21301445412152012
9065Chipman   23301831908232013
0100Gille     32510995312112011
0119Iverson   30460715601182011
0899Lewis     30991362905172013
1893Korsmo    33872038004052011
1973Allen     32402059007172010
2681Swan      32251784000082011
3950Davis     33321820706112012
4052Coughlin  31402092702262011
5233Gasper    31501153010182012
7603Wills     33381190305152011
7933Martin    30261996010202010
8418Lurguin   31140979500102013
8638Robinson  31460027008262013
8698Golding   31021170802022013
8738Elver     31452024106212012
9060Kraus     31581812103072013
9096Noll      30021548707112013
9596Martinez  30661734610242011
9642Maertz    30381851903072012
0065Behrend   42441293402082013
0657Clark     41350496711262013
0782Johnson   42821797912022013
1278Lin       43231836412292013
1742Abendroth 43851332410252013
2408Wang      40981364312272013
3139Wagner    41130779210072013
3211Weaver    43161045312142013
3640Mcdonald  42081293602032013
4186Coleman   44021457205122013
5092Young     43121184104092013
5483Packard   41511917100252013
5729Ott       47380110009192013
6151Vang      41541006103242013
6278Sharp     42770393411052013
6975Wier      40190938912012013
7344McDonald  42160937803132013
7544Stouffer  43200872108242013
7704Hershman  40031165700052013
8303Zimmerman 42640388512102013
8426Runde     41761703411092013
8841Granger   42941815204022013
