4663Williams  42621030206242011
7075Jones     52751762107212013
0082Wilson    10251274011202013
2508Peterson  03551574901022012
4630          32541956704072013
9218Lee       32341508100262013
5583Letterman 10200176612152011
7444Gates     32290180710162010
7804Cage      43560687608152013
5333Brown     20940543809192013
5192Lin       32160085607232013
0219Mayer     31961943603262013
5207Burke     43322058707132013
8202          43581118407152011
9065Chipman   03301831908232013
4286Frankson  20781237900162013
8941Ericson   21301445412152012
0002Chang     01592099510242010
7644Jackson   10421658112162013
4730Kline     10701411610122013
1842Mueller   21711257812132011
5829Neuman    53281739311272013
5107          43480611304252013
6143Lopez     21711959109112012
5263Covert    32361181610062012
8140Cambell   30200974304142010
2855White     20981340708052011
4967Michels   10671149702132013
0899Lewis     10191362905172013
9596Martinez  21661734610242011
8638Robinson  01460027008262013
7603Wills     43381190305152011
1973Allen     32402059007172010
5233          21501153010182012
2681Swan      10051784000082011
3950Davis     43321820706112012
8738Elver     10452024106212012
8698Golding   41021170802022013
9060Kraus     21581812103072013
0100          32590995312112011
4052Coughlin  51402092702262011
8418Lurguin   10140979500102013
7933Martin    10261996010202010
1893Korsmo    43872038004052011
0119          10460715601182011
9642Maertz    10381851903072012
9096Noll      10021548707112013
7544          43200872108242013
8426Runde     21761703411092013
0657Clark     21350496711262013
3139Wagner    10130779210072013
3211Weaver    03161045312142013
4186          34021457205122013
8303Zimmerman 42640388512102013
6278Sharp     22770393411052013
6151Vang      21011006103242013
6975          10190938912012013
3640Mcdonald  32081293602032013
1278Lin       10231836412292013
0782Johnson   32021797912022013
2408Wang      00981364312272013
5483Packard   21511917100252013
7344McDonald  32160937803132013
7704Hershman  10031165700052013
5092Young     43121184104092013
0065Behrend   32441293402082013
8841Granger   42941815204022013
1742Abendroth 20811332410252013
5729          57380110009192013
